the_geom,Fire Station #,Phone #,Street Address,Zip Code,City Council Districts,Shelby County Zip Codes
POINT (-90.04070880066011 35.16329139366345),Fire Station 1,(901) 527-4312,211 JACKSON AVE,38105.0,,7
POINT (-89.9792969885348 35.208497896636175),Fire Station 27,(901) 357-0937,2530 WHITNEY AVE,38127.0,,23
POINT (-89.94463651636917 35.17143300370622),Fire Station 23,(901) 324-0223,3468 JACKSON AVE,38122.0,,20
POINT (-89.92192143121211 35.036672205921775),Fire Station 50,(901) 365-4837,4255 E RAINES RD,38118.0,,17
POINT (-89.982092523649 35.17495378206087),Fire Station 19,(901) 278-9606,2248 CHELSEA AVE,38108.0,,8
POINT (-90.0438313589675 35.18153695961207),Fire Station 4,(901) 521-9567,1460 N SECOND ST,38107.0,,7
POINT (-90.04240527749025 35.14610115780374),Fire Station 5,(901) 636-1400,400 ADAMS AVE,38103.0,,3
POINT (-89.88651913340546 35.058341733395466),Fire Station 35,(901) 362-0553,3305 S MENDENHALL RD,38118.0,,17
POINT (-89.97888601110525 35.05135052082358),Fire Station 33,(901) 345-1310,2555 WINCHESTER RD,38116.0,,15
POINT (-90.0584383398165 35.13444677366535),Fire Station 2,(901) 527-4460,474 S MAIN ST,38103.0,,3
POINT (-90.00078010796958 35.135561673174145),Fire Station  11,(901) 276-2246,1826 UNION AVE,38104.0,,4
POINT (-90.02215820761805 35.00589441284569),Fire Station 43,(901) 398-9832,1253 E HOLMES RD,38116.0,,15
POINT (-89.94805977273714 35.11542048816206),Fire Station 18,(901) 458-3948,3426 SOUTHERN AVE,38111.0,,10
POINT (-89.90423745927329 35.08530647083184),Fire Station 25,(901) 685-7886,4735 WILLOW RD,38117.0,,16
POINT (-90.02688963198337 35.142237813949194),Fire Station 7,(901) 522-9150,1017 JEFFERSON AVE,38104.0,,4
POINT (-89.98943217709517 35.02062836951886),Fire Station 40,(901) 396-2360,2231 E SHELBY DR,38118.0,,17
POINT (-90.0440203896145 35.091818888049325),Fire Station 20,(901) 774-8410,2034 S LAUDERDALE ST,38106.0,,6
POINT (-90.06871634894418 35.01971298552607),Fire Station 38,(901) 789-6425,4715 HORN LAKE RD,38109.0,,9
POINT (-89.81319509355413 35.193305783142165),Fire Station 56,(901) 380-3786,7495 REESE RD,38133.0,,27
POINT (-89.90104295164222 35.01484412732064),Fire Station 57,(901) 365-1199,4930 PLEASANT HILL RD,38118.0,,17
POINT (-89.9481930097809 35.148556942071686),Fire Station 17,(901) 458-8850,611 NATIONAL ST,38122.0,,20
POINT (-89.76963973003443 35.140917509289956),Fire Station 54,(901) 756-1339,595 SANGA RD,38018.0,,1
POINT (-90.1075280565774 35.097767185738746),Fire Station 32,(901) 948-1013,1670 CHANNEL AVE,38113.0,,12
POINT (-89.86793029517561 35.03436941232926),Fire Station 53,(901) 797-8932,5881 E RAINES RD,38141.0,,31
POINT (-89.9827037137699 35.14503868102325),Fire Station 13,(901) 726-4514,333 E PARKWAY N,38112.0,,11
POINT (-90.02267830887682 35.158616859437835),Fire Station 15,(901) 522-9432,688 BREEDLOVE ST,38107.0,,7
POINT (-89.8409334298895 35.04906386955186),Fire Station 52,(901) 795-4745,6675 WINCHESTER RD,38115.0,,14
POINT (-89.9496482861443 35.20383491269759),Fire Station 46,(901) 388-8467,3423 SCENIC HWY,38128.0,,24
POINT (-89.85918766662145 35.08772862562036),Fire Station 41,(901) 685-0961,2161 RIDGEWAY RD,38119.0,,18
POINT (-89.98987285439824 35.10876719231301),Fire Station 16,(901) 324-2309,2203 LAMAR AVE,38114.0,,13
POINT (-90.02949581870669 35.11586116959666),Fire Station 14,(901) 774-8300,980 E MCLEMORE AVE,38106.0,,6
POINT (-89.89731263432375 35.193625951538955),Fire Station 48,(901) 388-8894,4985 RALEIGH LAGRANGE RD,38128.0,,24
POINT (-89.9711761500319 35.06510554311025),Fire Station 75 (FedEX),(901) 797-5100,2788 SPRANKEL AVE,38118.0,,17
POINT (-89.9631449950842 35.08775418141382),Fire Station 22,(901) 743-2900,2960 LAMAR AVE,38114.0,,13
POINT (-90.02899641549145 35.21705604321781),Fire Station 26,(901) 358-5626,3345 MILLINGTON ST,38127.0,,23
POINT (-90.00700976825357 35.173306545053315),Fire Station 28,(901) 272-2338,1510 CHELSEA AVE,38108.0,,8
POINT (-89.86531396427691 35.16711132554152),Fire Station 51,(901) 388-1943,5921 SHELBY OAKS DR,38134.0,,28
POINT (-89.76356080972305 35.203392732368215),Fire Station 59,(901) 380-3786,2780 ROCKCREEK PKWY,38016.0,,34
POINT (-89.96992596179112 35.03931536277973),Fire Station 9,(901) 794-6461,2785 RUDDER RD,38118.0,,17
POINT (-89.7829990526563 35.17311005445851),Fire Station 58,(901) 756-2750,8395 DEXTER RD,38016.0,,34
POINT (-89.91197081749286 35.154523854734045),Fire Station 24,(901) 682-7115,4472 POWELL AVE,38122.0,,20
POINT (-90.06710624807504 35.10819322656388),Fire Station 10,(901) 774-8600,148 S PARKWAY W,38106.0,,6
POINT (-89.99282129485731 35.24181866425998),Fire Station 31,(901) 358-2664,4258 OVERTON CROSSING ST,38127.0,,23
POINT (-89.93035898624167 35.099867040613034),Fire Station 30,(901) 327-9727,1150 GETWELL RD,38111.0,,10
POINT (-89.94651261998081 35.24459910586442),Fire Station 49,(901) 357-5679,4351 NEW ALLEN RD,38128.0,,24
POINT (-89.93315678607833 35.064552715453424),Fire Station 34,(901) 365-3400,3909 KNIGHT ARNOLD RD,38118.0,,17
POINT (-89.89535629732201 35.11591999357019),Fire Station 21,(901) 767-7970,550 S MENDENHALL RD,38117.0,,16
POINT (-90.09616188986271 35.040866423222155),Fire Station 37,(901) 785-4899,3950 WEAVER RD,38109.0,,9
POINT (-90.0358996948582 35.166272367088915),Fire Station 6,(901) 525-8077,924 THOMAS ST,38107.0,,7
POINT (-89.86207215074228 35.13401590121464),Fire Station 44,(901) 747-4826,220 N HUMPHREYS BLVD,38120.0,,19
POINT (-89.83027379443948 35.02314775145968),Fire Station 55,(901) 758-8711,4602 RIVERDALE RD,38125.0,,21
POINT (-89.97384464197349 35.131292455918704),MFD Headquarters,,2668 AVERY AVE,38112.0,,11
POINT (-90.00967122397732 35.06017435012911),Fire Station 42,(901) 345-2909,3242 FONTAINE RD,38116.0,,15
POINT (-89.91674755146977 35.22144224541239),Fire Station 47,(901) 388-3358,3510 COLEMAN RD,38128.0,,24
POINT (-90.02982845271164 35.03494291993921),Fire Station 39,(901) 396-2330,1025 E RAINES RD,38116.0,,15
POINT (-90.05987881251478 35.06093287370457),Fire Station 36,(901) 398-5722,3215 S THIRD ST,38109.0,,9
